,Date,hpi_percentage_change_monthly,Adj Close,Volume,ezb_funds,fed_funds_for_banks,fed_funds_for_customer,Monthly Return,Monthly Return Comparison
71,2017-04-01,1.9,43.799999,2305368.0,0.0,0.9,4.0,-0.612663943725892,negativ
72,2017-03-01,1.5,44.07,2807261.0,0.0,0.79,3.75,0.4787938787324774,positiv
73,2017-02-01,2.0,43.860001,2375183.0,0.0,0.66,3.75,5.003593488149375,positiv
74,2017-01-01,1.7,41.77,3149576.0,0.0,0.65,3.75,-0.9720246562351744,negativ
75,2016-12-01,1.1,42.18,3952652.0,0.0,0.54,3.5,2.8780487804878043,positiv
76,2016-11-01,0.6,41.0,3432814.0,0.0,0.41,3.5,5.37136982780777,positiv
77,2016-10-01,0.5,38.91,1860511.0,0.0,0.4,3.5,0.5166649578058454,positiv
78,2016-09-01,0.4,38.709999,2090107.0,0.0,0.4,3.5,0.1034419500099372,positiv
79,2016-08-01,0.2,38.669998,1347912.0,0.0,0.4,3.5,0.2592636764324588,positiv
80,2016-07-01,0.2,38.57,1667301.0,0.0,0.39,3.5,3.8502989728136425,positiv
81,2016-06-01,0.0,37.139999,2378284.0,0.0,0.38,3.5,-1.1182161576619676,negativ
82,2016-05-01,-0.1,37.560001,1648713.0,0.0,0.37,3.5,4.188632571113248,positiv
83,2016-04-01,-0.3,36.049999,2442438.0,0.0,0.37,3.5,0.1667046309138931,positiv
84,2016-03-01,0.0,35.990002,2767041.0,0.0241935483870967,0.36,3.5,1.1239168305703666,positiv
85,2016-02-01,-0.1,35.59,2898793.0,0.05,0.38,3.5,0.3949195939373967,positiv
86,2016-01-01,0.3,35.450001,3263908.0,0.05,0.34,3.5,-6.7841127211178645,negativ
87,2015-12-01,0.3,38.029999,3721976.0,0.05,0.24,3.25,-4.109936964195664,negativ
88,2015-11-01,0.1,39.66,1950790.0,0.05,0.12,3.25,3.903594650437228,positiv
89,2015-10-01,0.4,38.169998,4065215.0,0.05,0.12,3.25,9.746978428607784,positiv
90,2015-09-01,0.2,34.779999,2366225.0,0.05,0.14,3.25,-3.603112327987132,negativ
91,2015-08-01,0.4,36.080002,2736601.0,0.05,0.14,3.25,-8.146632081126063,negativ
92,2015-07-01,0.5,39.279999,2039447.0,0.05,0.13,3.25,2.9889880175403083,positiv
93,2015-06-01,0.5,38.139999,2066347.0,0.05,0.13,3.25,-3.638208507417451,negativ
94,2015-05-01,0.6,39.580002,2869536.0,0.05,0.12,3.25,1.9052574665293431,positiv
95,2015-04-01,0.2,38.84,2151738.0,0.05,0.12,3.25,-1.7206477732793517,negativ
96,2015-03-01,-0.1,39.52,2236751.0,0.05,0.11,3.25,2.8095760356289365,positiv
97,2015-02-01,-0.3,38.439999,1713803.0,0.05,0.11,3.25,6.570554477405046,positiv
98,2015-01-01,-0.6,36.07,3706869.0,0.05,0.11,3.25,5.099067599067599,positiv
99,2014-12-01,-0.2,34.32,2721086.0,0.05,0.12,3.25,1.2688138468224717,positiv
100,2014-11-01,0.3,33.889999,1900720.0,0.05,0.09,3.25,2.8528011273808542,positiv
101,2014-10-01,0.4,32.950001,2339151.0,0.05,0.09,3.25,1.1977886610015784,positiv
102,2014-09-01,0.3,32.560001,982123.0,0.08,0.09,3.25,1.8454864512194649,positiv
103,2014-08-01,0.4,31.969999,1441582.0,0.15,0.09,3.25,3.697693804735657,positiv
104,2014-07-01,0.4,30.83,2519039.0,0.15,0.09,3.25,0.883511154565146,positiv
105,2014-06-01,0.5,30.559999,887817.0,0.1833333333333333,0.1,3.25,1.5282358803986704,positiv
106,2014-05-01,0.5,30.1,797343.0,0.25,0.09,3.25,3.721571330117167,positiv
107,2014-04-01,0.7,29.02,774855.0,0.25,0.09,3.25,0.3457814661134089,positiv
108,2014-03-01,0.5,28.92,749540.0,0.25,0.08,3.25,0.0,stabil
109,2014-02-01,0.7,28.92,445910.0,0.25,0.07,3.25,3.0648646851341668,positiv
110,2014-01-01,0.8,28.059999,831607.0,0.25,0.07,3.25,-1.5783970536653815,negativ
111,2013-12-01,0.8,28.51,605148.0,0.25,0.09,3.25,0.3519887363604415,positiv
112,2013-11-01,0.9,28.41,726376.0,0.35,0.08,3.25,1.5005359056806065,positiv
113,2013-10-01,0.7,27.99,681861.0,0.5,0.09,3.25,3.781983825805841,positiv
114,2013-09-01,1.1,26.969999,872671.0,0.5,0.08,3.25,2.7428533333333385,positiv
115,2013-08-01,1.3,26.25,618996.0,0.5,0.08,3.25,-2.271038634734229,negativ
116,2013-07-01,1.6,26.860001,267071.0,0.5,0.09,3.25,3.267977700884271,positiv
117,2013-06-01,1.6,26.01,515849.0,0.5,0.09,3.25,-3.164560567216654,negativ
118,2013-05-01,1.4,26.860001,94926.0,0.5564516129032258,0.11,3.25,2.675844801223243,positiv
119,2013-04-01,1.2,26.16,213025.0,0.75,0.15,3.25,0.3452243958573067,positiv
120,2013-03-01,1.7,26.07,219536.0,0.75,0.14,3.25,4.238304678128743,positiv
121,2013-02-01,1.9,25.01,231814.0,0.75,0.15,3.25,3.948466498273754,positiv
122,2013-01-01,2.0,24.059999,234218.0,0.75,0.14,3.25,2.8644721190454163,positiv
123,2012-12-01,2.2,23.389999,49138.0,0.75,0.16,3.25,-0.2133191035273386,negativ
124,2012-11-01,2.2,23.440001,194975.0,0.75,0.16,3.25,1.0780508375139786,positiv
125,2012-10-01,2.5,23.190001,176183.0,0.75,0.16,3.25,-1.528653992724165,negativ
126,2012-09-01,2.6,23.549999,587698.0,0.75,0.14,3.25,0.0424723856213918,positiv
127,2012-08-01,2.6,23.540001,255700.0,0.75,0.13,3.25,0.3837952928019059,positiv
128,2012-07-01,2.4,23.450001,256168.0,0.8306451612903226,0.16,3.25,4.64078982597055,positiv
129,2012-06-01,2.4,22.41,116096.0,1.0,0.16,3.25,2.609890109890112,positiv
130,2012-05-01,2.4,21.84,235716.0,1.0,0.16,3.25,-2.456449417438561,negativ
131,2012-04-01,2.6,22.389999,103839.0,1.0,0.14,3.25,-0.621402546764197,negativ
132,2012-03-01,2.7,22.530001,326002.0,1.0,0.13,3.25,1.4408015056641776,positiv
133,2012-02-01,2.7,22.209999,207611.0,1.0,0.1,3.25,2.919365152919377,positiv
134,2012-01-01,2.7,21.58,265107.0,1.0,0.08,3.25,3.7500049879810025,positiv
135,2011-12-01,2.8,20.799999,115356.0,1.1048387096774193,0.07,3.25,4.05202101050526,positiv
136,2011-11-01,3.0,19.99,384411.0,1.3166666666666669,0.08,3.25,0.5027702615771821,positiv
137,2011-10-01,3.0,19.889999,45736.0,1.5,0.07,3.25,6.306788151084347,positiv
138,2011-09-01,3.0,18.709999,111566.0,1.5,0.08,3.25,-1.990576217915139,negativ
139,2011-08-01,2.5,19.09,189383.0,1.5,0.1,3.25,-7.285089849441477,negativ
140,2011-07-01,2.6,20.59,145674.0,1.403225806451613,0.07,3.25,-0.6753497346840356,negativ
141,2011-06-01,2.7,20.73,65663.0,1.25,0.09,3.25,-2.170839916430388,negativ
142,2011-05-01,2.7,21.190001,33355.0,1.25,0.09,3.25,1.049127374779547,positiv
143,2011-04-01,2.8,20.969999,27795.0,1.15,0.1,3.25,-0.3327091096621087,negativ
144,2011-03-01,2.7,21.040001,128192.0,1.0,0.14,3.25,-3.839113520983256,negativ
145,2011-02-01,2.4,21.879999,25262.0,1.0,0.16,3.25,2.5304545454545533,positiv
146,2011-01-01,2.3,21.34,244736.0,1.0,0.17,3.25,-0.7441860465116286,negativ
147,2010-12-01,2.2,21.5,38671.0,1.0,0.18,3.25,4.929233772571994,positiv
148,2010-11-01,1.9,20.49,146865.0,1.0,0.19,3.25,4.754606582546335,positiv
149,2010-10-01,1.9,19.559999,38508.0,1.0,0.19,3.25,0.6172736307986944,positiv
150,2010-09-01,1.9,19.440001,11275.0,1.0,0.19,3.25,0.2061907216494854,positiv
151,2010-08-01,1.6,19.4,384312.0,1.0,0.19,3.25,0.9890734507586324,positiv
152,2010-07-01,1.7,19.209999,18603.0,1.0,0.18,3.25,0.9989432176656164,positiv
153,2010-06-01,1.5,19.02,14847.0,1.0,0.18,3.25,-2.760731224986267,negativ
154,2010-05-01,1.7,19.559999,61775.0,1.0,0.2,3.25,-2.638133399701337,negativ
155,2010-04-01,1.6,20.09,49466.0,1.0,0.2,3.25,2.135231316725969,positiv
156,2010-03-01,1.6,19.67,104653.0,1.0,0.16,3.25,7.076749750857409,positiv
157,2010-02-01,0.8,18.370001,96452.0,1.0,0.13,3.25,2.3968783502297453,positiv
158,2010-01-01,0.9,17.940001,2789.0,1.0,0.11,3.25,-0.3886674069961288,negativ
159,2009-12-01,0.9,18.01,1117.0,1.0,0.12,3.25,6.8525660041530765,positiv
160,2009-11-01,0.5,16.855,1066.0,1.0,0.12,3.25,0.6268656716417936,positiv
161,2009-10-01,-0.1,16.75,850.0,1.0,0.12,3.25,0.0,stabil
