Date,Adj Close,FEDFUNDS,PRIME
2020-03-01,46.109001,0.65,4.75
2020-04-01,50.556,0.05,3.25
2020-05-01,51.816002,0.05,3.25
2020-06-01,52.698002,0.08,3.25
2020-07-01,52.532001,0.09,3.25
2020-08-01,55.664001,0.1,3.25
2020-09-01,54.967999,0.09,3.25
2020-10-01,53.459999,0.09,3.25
2020-11-01,58.588001,0.09,3.25
2020-12-01,59.712002,0.09,3.25
2021-01-01,59.966,0.09,3.25
2021-02-01,61.888,0.08,3.25
2021-03-01,65.694,0.07,3.25
2021-04-01,66.970001,0.07,3.25
2021-05-01,66.769997,0.06,3.25
2021-06-01,69.933998,0.08,3.25
2021-07-01,71.216003,0.1,3.25
2021-08-01,73.433998,0.09,3.25
2021-09-01,72.014,0.08,3.25
2021-10-01,75.708,0.08,3.25
2021-11-01,76.195999,0.08,3.25
2021-12-01,79.246002,0.08,3.25
2022-01-01,74.933998,0.08,3.25
2022-02-01,73.652,0.08,3.25
2022-03-01,77.098,0.2,3.25
2022-04-01,75.089996,0.33,3.5
2022-05-01,72.491997,0.77,3.5
2022-06-01,67.886002,1.21,4.0
2022-07-01,74.851997,1.68,4.75
2022-08-01,73.428001,2.33,5.5
2022-09-01,69.260002,2.56,5.5
2022-10-01,72.402,3.08,6.25
2022-11-01,72.620003,3.78,6.25
2022-12-01,68.477997,4.1,7.0
2023-01-01,71.818001,4.33,7.5
2023-02-01,72.244003,4.57,7.5
2023-03-01,72.377998,4.65,7.75
