,Date,Adj Close,Volume,ezb_funds,fed_funds_for_banks,fed_funds_for_customer,Monthly Return
29,2012-03-01,22.530001,326002.0,1.0,0.13,3.25,1.4408015056641776
30,2012-04-01,22.389999,103839.0,1.0,0.14,3.25,-0.621402546764197
31,2012-05-01,21.84,235716.0,1.0,0.16,3.25,-2.456449417438561
32,2012-06-01,22.41,116096.0,1.0,0.16,3.25,2.6098901098901113
33,2012-07-01,23.450001,256168.0,0.8306451612903226,0.16,3.25,4.64078982597055
34,2012-08-01,23.540001,255700.0,0.75,0.13,3.25,0.3837952928019059
35,2012-09-01,23.549999,587698.0,0.75,0.14,3.25,0.04247238562139189
36,2012-10-01,23.190001,176183.0,0.75,0.16,3.25,-1.528653992724165
37,2012-11-01,23.440001,194975.0,0.75,0.16,3.25,1.0780508375139786
38,2012-12-01,23.389999,49138.0,0.75,0.16,3.25,-0.21331910352733865
39,2013-01-01,24.059999,234218.0,0.75,0.14,3.25,2.8644721190454163
40,2013-02-01,25.01,231814.0,0.75,0.15,3.25,3.948466498273754
41,2013-03-01,26.07,219536.0,0.75,0.14,3.25,4.238304678128743
42,2013-04-01,26.16,213025.0,0.75,0.15,3.25,0.3452243958573067
43,2013-05-01,26.860001,94926.0,0.5564516129032258,0.11,3.25,2.675844801223243
44,2013-06-01,26.01,515849.0,0.5,0.09,3.25,-3.164560567216654
45,2013-07-01,26.860001,267071.0,0.5,0.09,3.25,3.267977700884271
46,2013-08-01,26.25,618996.0,0.5,0.08,3.25,-2.2710386347342295
47,2013-09-01,26.969999,872671.0,0.5,0.08,3.25,2.7428533333333385
48,2013-10-01,27.99,681861.0,0.5,0.09,3.25,3.781983825805841
49,2013-11-01,28.41,726376.0,0.35,0.08,3.25,1.5005359056806065
50,2013-12-01,28.51,605148.0,0.25,0.09,3.25,0.3519887363604415
51,2014-01-01,28.059999,831607.0,0.25,0.07,3.25,-1.5783970536653817
52,2014-02-01,28.92,445910.0,0.25,0.07,3.25,3.0648646851341668
53,2014-03-01,28.92,749540.0,0.25,0.08,3.25,0.0
54,2014-04-01,29.02,774855.0,0.25,0.09,3.25,0.34578146611340893
55,2014-05-01,30.1,797343.0,0.25,0.09,3.25,3.721571330117167
56,2014-06-01,30.559999,887817.0,0.1833333333333333,0.1,3.25,1.5282358803986704
57,2014-07-01,30.83,2519039.0,0.15,0.09,3.25,0.883511154565146
58,2014-08-01,31.969999,1441582.0,0.15,0.09,3.25,3.697693804735657
59,2014-09-01,32.560001,982123.0,0.08,0.09,3.25,1.8454864512194646
60,2014-10-01,32.950001,2339151.0,0.05,0.09,3.25,1.1977886610015784
61,2014-11-01,33.889999,1900720.0,0.05,0.09,3.25,2.8528011273808542
62,2014-12-01,34.32,2721086.0,0.05,0.12,3.25,1.2688138468224717
63,2015-01-01,36.07,3706869.0,0.05,0.11,3.25,5.099067599067599
64,2015-02-01,38.439999,1713803.0,0.05,0.11,3.25,6.570554477405046
65,2015-03-01,39.52,2236751.0,0.05,0.11,3.25,2.8095760356289365
66,2015-04-01,38.84,2151738.0,0.05,0.12,3.25,-1.7206477732793515
67,2015-05-01,39.580002,2869536.0,0.05,0.12,3.25,1.9052574665293431
68,2015-06-01,38.139999,2066347.0,0.05,0.13,3.25,-3.638208507417451
69,2015-07-01,39.279999,2039447.0,0.05,0.13,3.25,2.9889880175403083
70,2015-08-01,36.080002,2736601.0,0.05,0.14,3.25,-8.146632081126063
71,2015-09-01,34.779999,2366225.0,0.05,0.14,3.25,-3.603112327987132
72,2015-10-01,38.169998,4065215.0,0.05,0.12,3.25,9.746978428607784
73,2015-11-01,39.66,1950790.0,0.05,0.12,3.25,3.903594650437228
74,2015-12-01,38.029999,3721976.0,0.05,0.24,3.25,-4.109936964195664
75,2016-01-01,35.450001,3263908.0,0.05,0.34,3.5,-6.7841127211178645
76,2016-02-01,35.59,2898793.0,0.05,0.38,3.5,0.39491959393739673
77,2016-03-01,35.990002,2767041.0,0.0241935483870967,0.36,3.5,1.1239168305703666
78,2016-04-01,36.049999,2442438.0,0.0,0.37,3.5,0.1667046309138931
79,2016-05-01,37.560001,1648713.0,0.0,0.37,3.5,4.1886325711132475
80,2016-06-01,37.139999,2378284.0,0.0,0.38,3.5,-1.1182161576619676
81,2016-07-01,38.57,1667301.0,0.0,0.39,3.5,3.8502989728136425
82,2016-08-01,38.669998,1347912.0,0.0,0.4,3.5,0.2592636764324588
83,2016-09-01,38.709999,2090107.0,0.0,0.4,3.5,0.10344195000993722
84,2016-10-01,38.91,1860511.0,0.0,0.4,3.5,0.5166649578058454
85,2016-11-01,41.0,3432814.0,0.0,0.41,3.5,5.37136982780777
86,2016-12-01,42.18,3952652.0,0.0,0.54,3.5,2.8780487804878043
87,2017-01-01,41.77,3149576.0,0.0,0.65,3.75,-0.9720246562351745
88,2017-02-01,43.860001,2375183.0,0.0,0.66,3.75,5.003593488149375
89,2017-03-01,44.07,2807261.0,0.0,0.79,3.75,0.4787938787324774
90,2017-04-01,43.799999,2305368.0,0.0,0.9,4.0,-0.612663943725892
91,2017-05-01,43.310001,3369549.0,0.0,0.91,4.0,-1.1187169205186511
92,2017-06-01,42.900002,2378635.0,0.0,1.04,4.0,-0.9466612572925112
93,2017-07-01,42.549999,1658620.0,0.0,1.15,4.25,-0.8158577708224838
94,2017-08-01,42.200001,2033939.0,0.0,1.16,4.25,-0.8225570111059212
95,2017-09-01,43.41,1724227.0,0.0,1.15,4.25,2.8672961405853905
96,2017-10-01,44.889999,2010868.0,0.0,1.15,4.25,3.4093503800967673
97,2017-11-01,44.799999,1723896.0,0.0,1.16,4.25,-0.20049009134529813
98,2017-12-01,45.43,2505826.0,0.0,1.3,4.25,1.4062522635324168
99,2018-01-01,45.868999,2628581.0,0.0,1.41,4.5,0.9663196125908047
100,2018-02-01,45.053001,5112398.0,0.0,1.42,4.5,-1.7789749455836181
101,2018-03-01,43.403,4122275.0,0.0,1.51,4.5,-3.662355366737952
102,2018-04-01,45.098,2367604.0,0.0,1.69,4.75,3.9052600050687745
103,2018-05-01,46.741001,3290529.0,0.0,1.7,4.75,3.6431792984167775
104,2018-06-01,46.839001,2669248.0,0.0,1.82,4.75,0.20966602747768728
105,2018-07-01,47.997002,2098894.0,0.0,1.91,5.0,2.4723008076111586
106,2018-08-01,48.903999,2303423.0,0.0,1.91,5.0,1.8896951105404396
107,2018-09-01,49.259998,3313761.0,0.0,1.95,5.0,0.7279547834114838
108,2018-10-01,46.841,3942736.0,0.0,2.19,5.25,-4.910674174205208
109,2018-11-01,47.036999,3950996.0,0.0,2.2,5.25,0.4184347046390992
110,2018-12-01,43.098999,4320733.0,0.0,2.27,5.25,-8.372132754472712
111,2019-01-01,46.497002,3570703.0,0.0,2.4,5.5,7.884180790370567
112,2019-02-01,48.346001,2828657.0,0.0,2.4,5.5,3.9765983191776515
113,2019-03-01,49.556,3809025.0,0.0,2.41,5.5,2.5027902514625695
114,2019-04-01,51.362,2864661.0,0.0,2.42,5.5,3.6443619339736957
115,2019-05-01,48.903999,3947384.0,0.0,2.39,5.5,-4.785641135469809
116,2019-06-01,50.810001,2817706.0,0.0,2.38,5.5,3.897435872268853
117,2019-07-01,52.644001,3327311.0,0.0,2.4,5.5,3.609525612880825
118,2019-08-01,51.776001,4174215.0,0.0,2.13,5.25,-1.64881084931216
119,2019-09-01,53.448002,3098792.0,0.0,2.04,5.25,3.229297295478655
120,2019-10-01,53.400002,3467251.0,0.0,1.83,5.0,-0.08980691177193456
121,2019-11-01,55.75,3396954.0,0.0,1.55,4.75,4.400745153530143
122,2019-12-01,56.608002,5588266.0,0.0,1.55,4.75,1.5390170403587426
123,2020-01-01,56.751999,4828506.0,0.0,1.55,4.75,0.2543756976266338
124,2020-02-01,51.712002,7277632.0,0.0,1.58,4.75,-8.880739161276063
125,2020-03-01,46.109001,19125311.0,0.0,0.65,4.75,-10.835010796913256
126,2020-04-01,50.556,11014791.0,0.0,0.05,3.25,9.644535564758815
127,2020-05-01,51.816002,7082412.0,0.0,0.05,3.25,2.4922897381121927
128,2020-06-01,52.698002,9588310.0,0.0,0.08,3.25,1.702176868064821
129,2020-07-01,52.532001,7197070.0,0.0,0.09,3.25,-0.31500435253693565
130,2020-08-01,55.664001,4518274.0,0.0,0.1,3.25,5.962080142349799
131,2020-09-01,54.967999,6675954.0,0.0,0.09,3.25,-1.250362869172843
132,2020-10-01,53.459999,5141356.0,0.0,0.09,3.25,-2.743414400076662
133,2020-11-01,58.588001,9148926.0,0.0,0.09,3.25,9.592222401650242
134,2020-12-01,59.712002,5950417.0,0.0,0.09,3.25,1.9184832744165479
135,2021-01-01,59.966,9271385.0,0.0,0.09,3.25,0.4253717703184744
136,2021-02-01,61.888,6523875.0,0.0,0.08,3.25,3.2051495847646954
137,2021-03-01,65.694,8767454.0,0.0,0.07,3.25,6.1498190279214136
138,2021-04-01,66.970001,7249398.0,0.0,0.07,3.25,1.942340244162319
139,2021-05-01,66.769997,7636691.0,0.0,0.06,3.25,-0.2986471509833078
140,2021-06-01,69.933998,6275746.0,0.0,0.08,3.25,4.738656795206983
141,2021-07-01,71.216003,8410984.0,0.0,0.1,3.25,1.8331641786016553
142,2021-08-01,73.433998,7276449.0,0.0,0.09,3.25,3.1144615066363692
143,2021-09-01,72.014,8076837.0,0.0,0.08,3.25,-1.9337065101644155
144,2021-10-01,75.708,8102372.0,0.0,0.08,3.25,5.129558141472495
145,2021-11-01,76.195999,9895153.0,0.0,0.08,3.25,0.6445804934749327
146,2021-12-01,79.246002,11783850.0,0.0,0.08,3.25,4.002838784225408
147,2022-01-01,74.933998,18793358.0,0.0,0.08,3.25,-5.4412890129144955
148,2022-02-01,73.652,21606509.0,0.0,0.08,3.25,-1.7108362481873733
149,2022-03-01,77.098,16536926.0,0.0,0.2,3.25,4.678759572041489
150,2022-04-01,75.089996,10364008.0,0.0,0.33,3.5,-2.6044826065526987
151,2022-05-01,72.491997,10734418.0,0.0,0.77,3.5,-3.4598470347501435
152,2022-06-01,67.886002,10987360.0,0.0,1.21,4.0,-6.353797923376277
153,2022-07-01,74.851997,9847150.0,0.0806451612903225,1.68,4.75,10.261312781389
154,2022-08-01,73.428001,8035747.0,0.5,2.33,5.5,-1.9024155093684443
155,2022-09-01,69.260002,11304564.0,0.925,2.56,5.5,-5.676307325866048
156,2022-10-01,72.402,11679350.0,1.25,3.08,6.25,4.536526002410455
157,2022-11-01,72.620003,8034631.0,1.975,3.78,6.25,0.3011007983204828
158,2022-12-01,68.477997,6728267.0,2.177419354838709,4.1,7.0,-5.703670929344351
159,2023-01-01,71.818001,6731261.0,2.5,4.33,7.5,4.877484953305502
160,2023-02-01,72.244003,5824871.0,2.875,4.57,7.5,0.5931688352061082
161,2023-03-01,72.377998,10135602.0,3.161290322580645,4.65,7.75,0.18547560272926564
