Date,Adj Close,Volume,ezb_funds,fed_funds_for_banks,fed_funds_for_customer
2020-01-01,56.751999,4828506.0,0.0,1.55,4.75
2020-02-01,51.712002,7277632.0,0.0,1.58,4.75
2020-03-01,46.109001,19125311.0,0.0,0.65,4.75
2020-04-01,50.556,11014791.0,0.0,0.05,3.25
2020-05-01,51.816002,7082412.0,0.0,0.05,3.25
2020-06-01,52.698002,9588310.0,0.0,0.08,3.25
2020-07-01,52.532001,7197070.0,0.0,0.09,3.25
2020-08-01,55.664001,4518274.0,0.0,0.1,3.25
2020-09-01,54.967999,6675954.0,0.0,0.09,3.25
2020-10-01,53.459999,5141356.0,0.0,0.09,3.25
2020-11-01,58.588001,9148926.0,0.0,0.09,3.25
2020-12-01,59.712002,5950417.0,0.0,0.09,3.25
2021-01-01,59.966,9271385.0,0.0,0.09,3.25
2021-02-01,61.888,6523875.0,0.0,0.08,3.25
2021-03-01,65.694,8767454.0,0.0,0.07,3.25
2021-04-01,66.970001,7249398.0,0.0,0.07,3.25
2021-05-01,66.769997,7636691.0,0.0,0.06,3.25
2021-06-01,69.933998,6275746.0,0.0,0.08,3.25
2021-07-01,71.216003,8410984.0,0.0,0.1,3.25
2021-08-01,73.433998,7276449.0,0.0,0.09,3.25
2021-09-01,72.014,8076837.0,0.0,0.08,3.25
2021-10-01,75.708,8102372.0,0.0,0.08,3.25
2021-11-01,76.195999,9895153.0,0.0,0.08,3.25
2021-12-01,79.246002,11783850.0,0.0,0.08,3.25
2022-01-01,74.933998,18793358.0,0.0,0.08,3.25
2022-02-01,73.652,21606509.0,0.0,0.08,3.25
2022-03-01,77.098,16536926.0,0.0,0.2,3.25
2022-04-01,75.089996,10364008.0,0.0,0.33,3.5
2022-05-01,72.491997,10734418.0,0.0,0.77,3.5
2022-06-01,67.886002,10987360.0,0.0,1.21,4.0
2022-07-01,74.851997,9847150.0,0.0806451612903225,1.68,4.75
2022-08-01,73.428001,8035747.0,0.5,2.33,5.5
2022-09-01,69.260002,11304564.0,0.925,2.56,5.5
2022-10-01,72.402,11679350.0,1.25,3.08,6.25
2022-11-01,72.620003,8034631.0,1.975,3.78,6.25
2022-12-01,68.477997,6728267.0,2.177419354838709,4.1,7.0
2023-01-01,71.818001,6731261.0,2.5,4.33,7.5
2023-02-01,72.244003,5824871.0,2.875,4.57,7.5
2023-03-01,72.377998,10135602.0,3.161290322580645,4.65,7.75
2023-04-01,72.566002,6208642.0,,4.83,
