Date,ECB Nominal effective exch. rate of the US dollar against Narrow EER group of trading partners (fixed composition): EER-12,obs. status
2000-12-25,-,Missing value; data cannot exist (M)
2000-12-24,-,Missing value; data cannot exist (M)
2000-12-23,-,Missing value; data cannot exist (M)
2000-12-22,107.6501,Normal value (A)
2000-12-21,107.9543,Normal value (A)
2000-12-20,108.5130,Normal value (A)
2000-12-19,109.1216,Normal value (A)
2000-12-18,108.7149,Normal value (A)
2000-12-17,-,Missing value; data cannot exist (M)
2000-12-16,-,Missing value; data cannot exist (M)
2000-12-15,108.5194,Normal value (A)
2000-12-14,109.2933,Normal value (A)
2000-12-13,109.9084,Normal value (A)
2000-12-12,109.4948,Normal value (A)
2000-12-11,109.0651,Normal value (A)
2000-12-10,-,Missing value; data cannot exist (M)
2000-12-09,-,Missing value; data cannot exist (M)
2000-12-08,108.9211,Normal value (A)
2000-12-07,108.6935,Normal value (A)
2000-12-06,109.5724,Normal value (A)
2000-12-05,109.5753,Normal value (A)
2000-12-04,109.3348,Normal value (A)
2000-12-03,-,Missing value; data cannot exist (M)
2000-12-02,-,Missing value; data cannot exist (M)
2000-12-01,110.1242,Normal value (A)
2000-11-30,110.5441,Normal value (A)
2000-11-29,110.2425,Normal value (A)
2000-11-28,110.6244,Normal value (A)
2000-11-27,111.7578,Normal value (A)
2000-11-26,-,Missing value; data cannot exist (M)
2000-11-25,-,Missing value; data cannot exist (M)
2000-11-24,111.7503,Normal value (A)
2000-11-23,111.6559,Normal value (A)
2000-11-22,111.4412,Normal value (A)
2000-11-21,111.3808,Normal value (A)
2000-11-20,111.0293,Normal value (A)
2000-11-19,-,Missing value; data cannot exist (M)
2000-11-18,-,Missing value; data cannot exist (M)
2000-11-17,110.6835,Normal value (A)
2000-11-16,110.4171,Normal value (A)
2000-11-15,110.1201,Normal value (A)
2000-11-14,109.8951,Normal value (A)
2000-11-13,109.7717,Normal value (A)
2000-11-12,-,Missing value; data cannot exist (M)
2000-11-11,-,Missing value; data cannot exist (M)
2000-11-10,109.5420,Normal value (A)
2000-11-09,110.0733,Normal value (A)
2000-11-08,109.8825,Normal value (A)
2000-11-07,109.5305,Normal value (A)
2000-11-06,109.0538,Normal value (A)
2000-11-05,-,Missing value; data cannot exist (M)
2000-11-04,-,Missing value; data cannot exist (M)
2000-11-03,108.7354,Normal value (A)
2000-11-02,109.3737,Normal value (A)
2000-11-01,109.7246,Normal value (A)
2000-10-31,110.6278,Normal value (A)
2000-10-30,110.1315,Normal value (A)
2000-10-29,-,Missing value; data cannot exist (M)
2000-10-28,-,Missing value; data cannot exist (M)
2000-10-27,110.8849,Normal value (A)
2000-10-26,111.0923,Normal value (A)
2000-10-25,110.7904,Normal value (A)
2000-10-24,110.1433,Normal value (A)
2000-10-23,110.3026,Normal value (A)
2000-10-22,-,Missing value; data cannot exist (M)
2000-10-21,-,Missing value; data cannot exist (M)
2000-10-20,109.9879,Normal value (A)
2000-10-19,110.1360,Normal value (A)
2000-10-18,109.6874,Normal value (A)
2000-10-17,109.8915,Normal value (A)
2000-10-16,109.5822,Normal value (A)
2000-10-15,-,Missing value; data cannot exist (M)
2000-10-14,-,Missing value; data cannot exist (M)
2000-10-13,108.9296,Normal value (A)
2000-10-12,108.6403,Normal value (A)
2000-10-11,108.3432,Normal value (A)
2000-10-10,108.3859,Normal value (A)
2000-10-09,108.7305,Normal value (A)
2000-10-08,-,Missing value; data cannot exist (M)
2000-10-07,-,Missing value; data cannot exist (M)
2000-10-06,108.5276,Normal value (A)
2000-10-05,108.1941,Normal value (A)
2000-10-04,108.5225,Normal value (A)
2000-10-03,108.3125,Normal value (A)
2000-10-02,107.9851,Normal value (A)
2000-10-01,-,Missing value; data cannot exist (M)
2000-09-30,-,Missing value; data cannot exist (M)
2000-09-29,108.1318,Normal value (A)
2000-09-28,107.5945,Normal value (A)
2000-09-27,107.3655,Normal value (A)
2000-09-26,107.7688,Normal value (A)
2000-09-25,107.8334,Normal value (A)
2000-09-24,-,Missing value; data cannot exist (M)
2000-09-23,-,Missing value; data cannot exist (M)
2000-09-22,107.3044,Normal value (A)
2000-09-21,108.8630,Normal value (A)
2000-09-20,109.0316,Normal value (A)
2000-09-19,109.0293,Normal value (A)
2000-09-18,109.1168,Normal value (A)
2000-09-17,-,Missing value; data cannot exist (M)
2000-09-16,-,Missing value; data cannot exist (M)
2000-09-15,108.7786,Normal value (A)
2000-09-14,108.3113,Normal value (A)
2000-09-13,108.3246,Normal value (A)
2000-09-12,108.3400,Normal value (A)
2000-09-11,108.1539,Normal value (A)
2000-09-10,-,Missing value; data cannot exist (M)
2000-09-09,-,Missing value; data cannot exist (M)
2000-09-08,107.4371,Normal value (A)
2000-09-07,107.6864,Normal value (A)
2000-09-06,106.9857,Normal value (A)
2000-09-05,106.6357,Normal value (A)
2000-09-04,105.9746,Normal value (A)
2000-09-03,-,Missing value; data cannot exist (M)
2000-09-02,-,Missing value; data cannot exist (M)
2000-09-01,106.6009,Normal value (A)
2000-08-31,106.6533,Normal value (A)
2000-08-30,106.8195,Normal value (A)
2000-08-29,106.4766,Normal value (A)
2000-08-28,106.2528,Normal value (A)
2000-08-27,-,Missing value; data cannot exist (M)
2000-08-26,-,Missing value; data cannot exist (M)
2000-08-25,106.2619,Normal value (A)
2000-08-24,106.3300,Normal value (A)
2000-08-23,106.7560,Normal value (A)
2000-08-22,106.5720,Normal value (A)
2000-08-21,106.1921,Normal value (A)
2000-08-20,-,Missing value; data cannot exist (M)
2000-08-19,-,Missing value; data cannot exist (M)
2000-08-18,105.9158,Normal value (A)
2000-08-17,105.7627,Normal value (A)
2000-08-16,106.1557,Normal value (A)
2000-08-15,106.2125,Normal value (A)
2000-08-14,106.5515,Normal value (A)
2000-08-13,-,Missing value; data cannot exist (M)
2000-08-12,-,Missing value; data cannot exist (M)
2000-08-11,105.9177,Normal value (A)
2000-08-10,106.3029,Normal value (A)
2000-08-09,106.5169,Normal value (A)
2000-08-08,106.2659,Normal value (A)
2000-08-07,106.3260,Normal value (A)
2000-08-06,-,Missing value; data cannot exist (M)
2000-08-05,-,Missing value; data cannot exist (M)
2000-08-04,106.3849,Normal value (A)
2000-08-03,106.4069,Normal value (A)
2000-08-02,106.0880,Normal value (A)
2000-08-01,105.7387,Normal value (A)
2000-07-31,105.7229,Normal value (A)
2000-07-30,-,Missing value; data cannot exist (M)
2000-07-29,-,Missing value; data cannot exist (M)
2000-07-28,105.2854,Normal value (A)
2000-07-27,104.6346,Normal value (A)
2000-07-26,104.6574,Normal value (A)
2000-07-25,104.6192,Normal value (A)
2000-07-24,104.8838,Normal value (A)
2000-07-23,-,Missing value; data cannot exist (M)
2000-07-22,-,Missing value; data cannot exist (M)
2000-07-21,104.7332,Normal value (A)
2000-07-20,105.4744,Normal value (A)
2000-07-19,105.4239,Normal value (A)
2000-07-18,104.9385,Normal value (A)
2000-07-17,105.1925,Normal value (A)
2000-07-16,-,Missing value; data cannot exist (M)
2000-07-15,-,Missing value; data cannot exist (M)
2000-07-14,104.9886,Normal value (A)
2000-07-13,104.7537,Normal value (A)
2000-07-12,104.1519,Normal value (A)
2000-07-11,103.8895,Normal value (A)
2000-07-10,103.9433,Normal value (A)
2000-07-09,-,Missing value; data cannot exist (M)
2000-07-08,-,Missing value; data cannot exist (M)
2000-07-07,104.3037,Normal value (A)
2000-07-06,104.1267,Normal value (A)
2000-07-05,103.9870,Normal value (A)
2000-07-04,103.9631,Normal value (A)
2000-07-03,103.8582,Normal value (A)
2000-07-02,-,Missing value; data cannot exist (M)
2000-07-01,-,Missing value; data cannot exist (M)
2000-06-30,103.4992,Normal value (A)
2000-06-29,103.5164,Normal value (A)
2000-06-28,104.1621,Normal value (A)
2000-06-27,104.2692,Normal value (A)
2000-06-26,104.6065,Normal value (A)
2000-06-25,-,Missing value; data cannot exist (M)
2000-06-24,-,Missing value; data cannot exist (M)
2000-06-23,103.7827,Normal value (A)
2000-06-22,104.0436,Normal value (A)
2000-06-21,103.7661,Normal value (A)
2000-06-20,103.4212,Normal value (A)
2000-06-19,103.0628,Normal value (A)
2000-06-18,-,Missing value; data cannot exist (M)
2000-06-17,-,Missing value; data cannot exist (M)
2000-06-16,103.5191,Normal value (A)
2000-06-15,103.5920,Normal value (A)
2000-06-14,103.2469,Normal value (A)
2000-06-13,103.4493,Normal value (A)
2000-06-12,103.7882,Normal value (A)
2000-06-11,-,Missing value; data cannot exist (M)
2000-06-10,-,Missing value; data cannot exist (M)
2000-06-09,104.0633,Normal value (A)
2000-06-08,103.0485,Normal value (A)
2000-06-07,103.4645,Normal value (A)
2000-06-06,104.0391,Normal value (A)
2000-06-05,104.3541,Normal value (A)
2000-06-04,-,Missing value; data cannot exist (M)
2000-06-03,-,Missing value; data cannot exist (M)
2000-06-02,105.3139,Normal value (A)
2000-06-01,105.5772,Normal value (A)
2000-05-31,105.5256,Normal value (A)
2000-05-30,105.1451,Normal value (A)
2000-05-29,105.7378,Normal value (A)
2000-05-28,-,Missing value; data cannot exist (M)
2000-05-27,-,Missing value; data cannot exist (M)
2000-05-26,106.3215,Normal value (A)
2000-05-25,107.2688,Normal value (A)
2000-05-24,106.5447,Normal value (A)
2000-05-23,106.1251,Normal value (A)
2000-05-22,106.6071,Normal value (A)
2000-05-21,-,Missing value; data cannot exist (M)
2000-05-20,-,Missing value; data cannot exist (M)
2000-05-19,107.3035,Normal value (A)
2000-05-18,107.3401,Normal value (A)
2000-05-17,107.2407,Normal value (A)
2000-05-16,106.3942,Normal value (A)
2000-05-15,106.0554,Normal value (A)
2000-05-14,-,Missing value; data cannot exist (M)
2000-05-13,-,Missing value; data cannot exist (M)
2000-05-12,106.3445,Normal value (A)
2000-05-11,106.3387,Normal value (A)
2000-05-10,106.0317,Normal value (A)
2000-05-09,106.6100,Normal value (A)
2000-05-08,106.4696,Normal value (A)
2000-05-07,-,Missing value; data cannot exist (M)
2000-05-06,-,Missing value; data cannot exist (M)
2000-05-05,106.3505,Normal value (A)
2000-05-04,106.5616,Normal value (A)
2000-05-03,106.5422,Normal value (A)
2000-05-02,105.4405,Normal value (A)
2000-05-01,-,Missing value; data cannot exist (M)
2000-04-30,-,Missing value; data cannot exist (M)
2000-04-29,-,Missing value; data cannot exist (M)
2000-04-28,105.3219,Normal value (A)
2000-04-27,104.7975,Normal value (A)
2000-04-26,104.4479,Normal value (A)
2000-04-25,103.9501,Normal value (A)
2000-04-24,-,Missing value; data cannot exist (M)
2000-04-23,-,Missing value; data cannot exist (M)
2000-04-22,-,Missing value; data cannot exist (M)
2000-04-21,-,Missing value; data cannot exist (M)
2000-04-20,103.5039,Normal value (A)
2000-04-19,103.1821,Normal value (A)
2000-04-18,103.1468,Normal value (A)
2000-04-17,102.6840,Normal value (A)
2000-04-16,-,Missing value; data cannot exist (M)
2000-04-15,-,Missing value; data cannot exist (M)
2000-04-14,103.0326,Normal value (A)
2000-04-13,102.8477,Normal value (A)
2000-04-12,102.7047,Normal value (A)
2000-04-11,102.8752,Normal value (A)
2000-04-10,102.7173,Normal value (A)
2000-04-09,-,Missing value; data cannot exist (M)
2000-04-08,-,Missing value; data cannot exist (M)
2000-04-07,102.5766,Normal value (A)
2000-04-06,102.1597,Normal value (A)
2000-04-05,102.1078,Normal value (A)
2000-04-04,102.6125,Normal value (A)
2000-04-03,102.3365,Normal value (A)
2000-04-02,-,Missing value; data cannot exist (M)
2000-04-01,-,Missing value; data cannot exist (M)
2000-03-31,102.0561,Normal value (A)
2000-03-30,102.5066,Normal value (A)
2000-03-29,102.5442,Normal value (A)
2000-03-28,102.4778,Normal value (A)
2000-03-27,102.3630,Normal value (A)
2000-03-26,-,Missing value; data cannot exist (M)
2000-03-25,-,Missing value; data cannot exist (M)
2000-03-24,102.5093,Normal value (A)
2000-03-23,102.9010,Normal value (A)
2000-03-22,103.1378,Normal value (A)
2000-03-21,102.7061,Normal value (A)
2000-03-20,102.7247,Normal value (A)
2000-03-19,-,Missing value; data cannot exist (M)
2000-03-18,-,Missing value; data cannot exist (M)
2000-03-17,102.7272,Normal value (A)
2000-03-16,102.5464,Normal value (A)
2000-03-15,102.6027,Normal value (A)
2000-03-14,102.5038,Normal value (A)
2000-03-13,102.1036,Normal value (A)
2000-03-12,-,Missing value; data cannot exist (M)
2000-03-11,-,Missing value; data cannot exist (M)
2000-03-10,102.6678,Normal value (A)
2000-03-09,102.7614,Normal value (A)
2000-03-08,103.1580,Normal value (A)
2000-03-07,102.9873,Normal value (A)
2000-03-06,102.7477,Normal value (A)
2000-03-05,-,Missing value; data cannot exist (M)
2000-03-04,-,Missing value; data cannot exist (M)
2000-03-03,102.8276,Normal value (A)
2000-03-02,102.3951,Normal value (A)
2000-03-01,102.7415,Normal value (A)
2000-02-29,102.9550,Normal value (A)
2000-02-28,103.0254,Normal value (A)
2000-02-27,-,Missing value; data cannot exist (M)
2000-02-26,-,Missing value; data cannot exist (M)
2000-02-25,102.7495,Normal value (A)
2000-02-24,102.5917,Normal value (A)
2000-02-23,101.9555,Normal value (A)
2000-02-22,101.9027,Normal value (A)
2000-02-21,102.5840,Normal value (A)
2000-02-20,-,Missing value; data cannot exist (M)
2000-02-19,-,Missing value; data cannot exist (M)
2000-02-18,102.3911,Normal value (A)
2000-02-17,102.0514,Normal value (A)
2000-02-16,102.3635,Normal value (A)
2000-02-15,102.5145,Normal value (A)
2000-02-14,101.9084,Normal value (A)
2000-02-13,-,Missing value; data cannot exist (M)
2000-02-12,-,Missing value; data cannot exist (M)
2000-02-11,102.2381,Normal value (A)
2000-02-10,101.8144,Normal value (A)
2000-02-09,101.5126,Normal value (A)
2000-02-08,101.8453,Normal value (A)
2000-02-07,102.1256,Normal value (A)
2000-02-06,-,Missing value; data cannot exist (M)
2000-02-05,-,Missing value; data cannot exist (M)
2000-02-04,101.8489,Normal value (A)
2000-02-03,102.1929,Normal value (A)
2000-02-02,102.4735,Normal value (A)
2000-02-01,102.3418,Normal value (A)
2000-01-31,101.7700,Normal value (A)
2000-01-30,-,Missing value; data cannot exist (M)
2000-01-29,-,Missing value; data cannot exist (M)
2000-01-28,101.0193,Normal value (A)
2000-01-27,100.4801,Normal value (A)
2000-01-26,100.3761,Normal value (A)
2000-01-25,100.4288,Normal value (A)
2000-01-24,100.2347,Normal value (A)
2000-01-23,-,Missing value; data cannot exist (M)
2000-01-22,-,Missing value; data cannot exist (M)
2000-01-21,99.9056,Normal value (A)
2000-01-20,100.1891,Normal value (A)
2000-01-19,100.2898,Normal value (A)
2000-01-18,100.2189,Normal value (A)
2000-01-17,100.1375,Normal value (A)
2000-01-16,-,Missing value; data cannot exist (M)
2000-01-15,-,Missing value; data cannot exist (M)
2000-01-14,99.7606,Normal value (A)
2000-01-13,99.6985,Normal value (A)
2000-01-12,99.6944,Normal value (A)
2000-01-11,100.0308,Normal value (A)
2000-01-10,99.7352,Normal value (A)
2000-01-09,-,Missing value; data cannot exist (M)
2000-01-08,-,Missing value; data cannot exist (M)
2000-01-07,99.6869,Normal value (A)
2000-01-06,99.1550,Normal value (A)
2000-01-05,98.9830,Normal value (A)
2000-01-04,98.9480,Normal value (A)
2000-01-03,99.5870,Normal value (A)
2000-01-02,-,Missing value; data cannot exist (M)
2000-01-01,-,Missing value; data cannot exist (M)
1999-12-31,-,Missing value; data cannot exist (M)
1999-12-30,99.9872,Normal value (A)
1999-12-29,99.9063,Normal value (A)
1999-12-28,99.9582,Normal value (A)
1999-12-27,99.9317,Normal value (A)
1999-12-26,-,Missing value; data cannot exist (M)
1999-12-25,-,Missing value; data cannot exist (M)
1999-12-24,100.0424,Normal value (A)
1999-12-23,100.0996,Normal value (A)
1999-12-22,100.1672,Normal value (A)
1999-12-21,100.3619,Normal value (A)
1999-12-20,100.4088,Normal value (A)
1999-12-19,-,Missing value; data cannot exist (M)
1999-12-18,-,Missing value; data cannot exist (M)
1999-12-17,100.3932,Normal value (A)
1999-12-16,100.2691,Normal value (A)
1999-12-15,100.9035,Normal value (A)
1999-12-14,100.7768,Normal value (A)
1999-12-13,100.1318,Normal value (A)
1999-12-12,-,Missing value; data cannot exist (M)
1999-12-11,-,Missing value; data cannot exist (M)
1999-12-10,100.0381,Normal value (A)
1999-12-09,99.9604,Normal value (A)
1999-12-08,99.7973,Normal value (A)
1999-12-07,99.7264,Normal value (A)
1999-12-06,100.1766,Normal value (A)
1999-12-05,-,Missing value; data cannot exist (M)
1999-12-04,-,Missing value; data cannot exist (M)
1999-12-03,100.7989,Normal value (A)
1999-12-02,100.6556,Normal value (A)
1999-12-01,100.4697,Normal value (A)
1999-11-30,100.3588,Normal value (A)
1999-11-29,100.4244,Normal value (A)
1999-11-28,-,Missing value; data cannot exist (M)
1999-11-27,-,Missing value; data cannot exist (M)
1999-11-26,100.5296,Normal value (A)
1999-11-25,100.2553,Normal value (A)
1999-11-24,100.2008,Normal value (A)
1999-11-23,99.8531,Normal value (A)
1999-11-22,99.9590,Normal value (A)
1999-11-21,-,Missing value; data cannot exist (M)
1999-11-20,-,Missing value; data cannot exist (M)
1999-11-19,100.3345,Normal value (A)
1999-11-18,99.8527,Normal value (A)
1999-11-17,99.6675,Normal value (A)
1999-11-16,100.0735,Normal value (A)
1999-11-15,99.9931,Normal value (A)
1999-11-14,-,Missing value; data cannot exist (M)
1999-11-13,-,Missing value; data cannot exist (M)
1999-11-12,99.9613,Normal value (A)
1999-11-11,99.7119,Normal value (A)
1999-11-10,99.7999,Normal value (A)
1999-11-09,99.7005,Normal value (A)
1999-11-08,99.9331,Normal value (A)
1999-11-07,-,Missing value; data cannot exist (M)
1999-11-06,-,Missing value; data cannot exist (M)
1999-11-05,99.6761,Normal value (A)
1999-11-04,99.2047,Normal value (A)
1999-11-03,99.1707,Normal value (A)
1999-11-02,99.2374,Normal value (A)
1999-11-01,98.9421,Normal value (A)
1999-10-31,-,Missing value; data cannot exist (M)
1999-10-30,-,Missing value; data cannot exist (M)
1999-10-29,99.6579,Normal value (A)
1999-10-28,99.1699,Normal value (A)
1999-10-27,99.0371,Normal value (A)
1999-10-26,98.8089,Normal value (A)
1999-10-25,98.9247,Normal value (A)
1999-10-24,-,Missing value; data cannot exist (M)
1999-10-23,-,Missing value; data cannot exist (M)
1999-10-22,98.6398,Normal value (A)
1999-10-21,98.7470,Normal value (A)
1999-10-20,98.8714,Normal value (A)
1999-10-19,98.7211,Normal value (A)
1999-10-18,98.4029,Normal value (A)
1999-10-17,-,Missing value; data cannot exist (M)
1999-10-16,-,Missing value; data cannot exist (M)
1999-10-15,98.4243,Normal value (A)
1999-10-14,99.0545,Normal value (A)
1999-10-13,99.0781,Normal value (A)
1999-10-12,99.0825,Normal value (A)
1999-10-11,99.2496,Normal value (A)
1999-10-10,-,Missing value; data cannot exist (M)
1999-10-09,-,Missing value; data cannot exist (M)
1999-10-08,99.2832,Normal value (A)
1999-10-07,99.0367,Normal value (A)
1999-10-06,99.0199,Normal value (A)
1999-10-05,98.9658,Normal value (A)
1999-10-04,98.9396,Normal value (A)
1999-10-03,-,Missing value; data cannot exist (M)
1999-10-02,-,Missing value; data cannot exist (M)
1999-10-01,98.6963,Normal value (A)
1999-09-30,99.0304,Normal value (A)
1999-09-29,99.5219,Normal value (A)
1999-09-28,99.6685,Normal value (A)
1999-09-27,99.7835,Normal value (A)
1999-09-26,-,Missing value; data cannot exist (M)
1999-09-25,-,Missing value; data cannot exist (M)
1999-09-24,99.5047,Normal value (A)
1999-09-23,99.6114,Normal value (A)
1999-09-22,99.3286,Normal value (A)
1999-09-21,99.9235,Normal value (A)
1999-09-20,100.4628,Normal value (A)
1999-09-19,-,Missing value; data cannot exist (M)
1999-09-18,-,Missing value; data cannot exist (M)
1999-09-17,100.1772,Normal value (A)
1999-09-16,99.9663,Normal value (A)
1999-09-15,99.9922,Normal value (A)
1999-09-14,100.3290,Normal value (A)
1999-09-13,100.3222,Normal value (A)
1999-09-12,-,Missing value; data cannot exist (M)
1999-09-11,-,Missing value; data cannot exist (M)
1999-09-10,100.3548,Normal value (A)
1999-09-09,100.1016,Normal value (A)
1999-09-08,100.4732,Normal value (A)
1999-09-07,100.8081,Normal value (A)
1999-09-06,100.4925,Normal value (A)
1999-09-05,-,Missing value; data cannot exist (M)
1999-09-04,-,Missing value; data cannot exist (M)
1999-09-03,100.2713,Normal value (A)
1999-09-02,100.0707,Normal value (A)
1999-09-01,100.3405,Normal value (A)
1999-08-31,100.4097,Normal value (A)
1999-08-30,101.2401,Normal value (A)
1999-08-29,-,Missing value; data cannot exist (M)
1999-08-28,-,Missing value; data cannot exist (M)
1999-08-27,101.4765,Normal value (A)
1999-08-26,101.5500,Normal value (A)
1999-08-25,101.4083,Normal value (A)
1999-08-24,101.3004,Normal value (A)
1999-08-23,100.8096,Normal value (A)
1999-08-22,-,Missing value; data cannot exist (M)
1999-08-21,-,Missing value; data cannot exist (M)
1999-08-20,100.4880,Normal value (A)
1999-08-19,101.0189,Normal value (A)
1999-08-18,101.2742,Normal value (A)
1999-08-17,101.4319,Normal value (A)
1999-08-16,101.3854,Normal value (A)
1999-08-15,-,Missing value; data cannot exist (M)
1999-08-14,-,Missing value; data cannot exist (M)
1999-08-13,101.0320,Normal value (A)
1999-08-12,101.3783,Normal value (A)
1999-08-11,101.2302,Normal value (A)
1999-08-10,101.0300,Normal value (A)
1999-08-09,101.2118,Normal value (A)
1999-08-08,-,Missing value; data cannot exist (M)
1999-08-07,-,Missing value; data cannot exist (M)
1999-08-06,100.9554,Normal value (A)
1999-08-05,100.6031,Normal value (A)
1999-08-04,100.7957,Normal value (A)
1999-08-03,101.3456,Normal value (A)
1999-08-02,101.2701,Normal value (A)
1999-08-01,-,Missing value; data cannot exist (M)
1999-07-31,-,Missing value; data cannot exist (M)
1999-07-30,101.2952,Normal value (A)
1999-07-29,101.5433,Normal value (A)
1999-07-28,102.0758,Normal value (A)
1999-07-27,102.0829,Normal value (A)
1999-07-26,101.7461,Normal value (A)
1999-07-25,-,Missing value; data cannot exist (M)
1999-07-24,-,Missing value; data cannot exist (M)
1999-07-23,102.4483,Normal value (A)
1999-07-22,102.7288,Normal value (A)
1999-07-21,102.8728,Normal value (A)
1999-07-20,102.7792,Normal value (A)
1999-07-19,104.0703,Normal value (A)
1999-07-18,-,Missing value; data cannot exist (M)
1999-07-17,-,Missing value; data cannot exist (M)
1999-07-16,103.8411,Normal value (A)
1999-07-15,103.7832,Normal value (A)
1999-07-14,104.0699,Normal value (A)
1999-07-13,104.0432,Normal value (A)
1999-07-12,104.3862,Normal value (A)
1999-07-11,-,Missing value; data cannot exist (M)
1999-07-10,-,Missing value; data cannot exist (M)
1999-07-09,103.9382,Normal value (A)
1999-07-08,104.0075,Normal value (A)
1999-07-07,103.7315,Normal value (A)
1999-07-06,103.6057,Normal value (A)
1999-07-05,103.5145,Normal value (A)
1999-07-04,-,Missing value; data cannot exist (M)
1999-07-03,-,Missing value; data cannot exist (M)
1999-07-02,103.3765,Normal value (A)
1999-07-01,103.1520,Normal value (A)
1999-06-30,103.1422,Normal value (A)
1999-06-29,102.8893,Normal value (A)
1999-06-28,102.7901,Normal value (A)
1999-06-27,-,Missing value; data cannot exist (M)
1999-06-26,-,Missing value; data cannot exist (M)
1999-06-25,102.6231,Normal value (A)
1999-06-24,103.2184,Normal value (A)
1999-06-23,103.4111,Normal value (A)
1999-06-22,103.1813,Normal value (A)
1999-06-21,103.0491,Normal value (A)
1999-06-20,-,Missing value; data cannot exist (M)
1999-06-19,-,Missing value; data cannot exist (M)
1999-06-18,102.4697,Normal value (A)
1999-06-17,102.5049,Normal value (A)
1999-06-16,102.7137,Normal value (A)
1999-06-15,102.5641,Normal value (A)
1999-06-14,102.2223,Normal value (A)
1999-06-13,-,Missing value; data cannot exist (M)
1999-06-12,-,Missing value; data cannot exist (M)
1999-06-11,101.7932,Normal value (A)
1999-06-10,102.0992,Normal value (A)
1999-06-09,102.1561,Normal value (A)
1999-06-08,102.8392,Normal value (A)
1999-06-07,103.0113,Normal value (A)
1999-06-06,-,Missing value; data cannot exist (M)
1999-06-05,-,Missing value; data cannot exist (M)
1999-06-04,103.3003,Normal value (A)
1999-06-03,103.0430,Normal value (A)
1999-06-02,103.0973,Normal value (A)
1999-06-01,102.8602,Normal value (A)
1999-05-31,102.8316,Normal value (A)
1999-05-30,-,Missing value; data cannot exist (M)
1999-05-29,-,Missing value; data cannot exist (M)
1999-05-28,102.6619,Normal value (A)
1999-05-27,102.8259,Normal value (A)
1999-05-26,102.5821,Normal value (A)
1999-05-25,102.1427,Normal value (A)
1999-05-24,102.5231,Normal value (A)
1999-05-23,-,Missing value; data cannot exist (M)
1999-05-22,-,Missing value; data cannot exist (M)
1999-05-21,102.6147,Normal value (A)
1999-05-20,102.4711,Normal value (A)
1999-05-19,102.5289,Normal value (A)
1999-05-18,101.9155,Normal value (A)
1999-05-17,102.1339,Normal value (A)
1999-05-16,-,Missing value; data cannot exist (M)
1999-05-15,-,Missing value; data cannot exist (M)
1999-05-14,101.9141,Normal value (A)
1999-05-13,102.0070,Normal value (A)
1999-05-12,101.7155,Normal value (A)
1999-05-11,101.3769,Normal value (A)
1999-05-10,101.3800,Normal value (A)
1999-05-09,-,Missing value; data cannot exist (M)
1999-05-08,-,Missing value; data cannot exist (M)
1999-05-07,101.1255,Normal value (A)
1999-05-06,100.9517,Normal value (A)
1999-05-05,101.5311,Normal value (A)
1999-05-04,101.9937,Normal value (A)
1999-05-03,101.7023,Normal value (A)
1999-05-02,-,Missing value; data cannot exist (M)
1999-05-01,-,Missing value; data cannot exist (M)
1999-04-30,101.7774,Normal value (A)
1999-04-29,101.6934,Normal value (A)
1999-04-28,101.5154,Normal value (A)
1999-04-27,101.9173,Normal value (A)
1999-04-26,101.7770,Normal value (A)
1999-04-25,-,Missing value; data cannot exist (M)
1999-04-24,-,Missing value; data cannot exist (M)
1999-04-23,101.8725,Normal value (A)
1999-04-22,102.3118,Normal value (A)
1999-04-21,102.2108,Normal value (A)
1999-04-20,101.7141,Normal value (A)
1999-04-19,101.7286,Normal value (A)
1999-04-18,-,Missing value; data cannot exist (M)
1999-04-17,-,Missing value; data cannot exist (M)
1999-04-16,101.8075,Normal value (A)
1999-04-15,101.5741,Normal value (A)
1999-04-14,101.6190,Normal value (A)
1999-04-13,101.9749,Normal value (A)
1999-04-12,101.6734,Normal value (A)
1999-04-11,-,Missing value; data cannot exist (M)
1999-04-10,-,Missing value; data cannot exist (M)
1999-04-09,102.3756,Normal value (A)
1999-04-08,102.0359,Normal value (A)
1999-04-07,102.3007,Normal value (A)
1999-04-06,102.6364,Normal value (A)
1999-04-05,102.3648,Normal value (A)
1999-04-04,-,Missing value; data cannot exist (M)
1999-04-03,-,Missing value; data cannot exist (M)
1999-04-02,102.2022,Normal value (A)
1999-04-01,102.0574,Normal value (A)
1999-03-31,102.1288,Normal value (A)
1999-03-30,102.5504,Normal value (A)
1999-03-29,102.5961,Normal value (A)
1999-03-28,-,Missing value; data cannot exist (M)
1999-03-27,-,Missing value; data cannot exist (M)
1999-03-26,101.7629,Normal value (A)
1999-03-25,101.3438,Normal value (A)
1999-03-24,101.0601,Normal value (A)
1999-03-23,101.3876,Normal value (A)
1999-03-22,101.4749,Normal value (A)
1999-03-21,-,Missing value; data cannot exist (M)
1999-03-20,-,Missing value; data cannot exist (M)
1999-03-19,101.2386,Normal value (A)
1999-03-18,101.1051,Normal value (A)
1999-03-17,101.4876,Normal value (A)
1999-03-16,101.6643,Normal value (A)
1999-03-15,101.4190,Normal value (A)
1999-03-14,-,Missing value; data cannot exist (M)
1999-03-13,-,Missing value; data cannot exist (M)
1999-03-12,101.7401,Normal value (A)
1999-03-11,101.9969,Normal value (A)
1999-03-10,101.7263,Normal value (A)
1999-03-09,102.3733,Normal value (A)
