,Unnamed: 0,Date,Adj Close,Volume,ezb_funds,fed_funds_for_banks,fed_funds_for_customer,Monthly Return,Comparison
63,63,2015-01-01,36.07,3706869.0,0.05,0.11,3.25,5.099067599067599,positive
64,64,2015-02-01,38.439999,1713803.0,0.05,0.11,3.25,6.570554477405046,positive
65,65,2015-03-01,39.52,2236751.0,0.05,0.11,3.25,2.8095760356289365,positive
66,66,2015-04-01,38.84,2151738.0,0.05,0.12,3.25,-1.7206477732793517,negative
67,67,2015-05-01,39.580002,2869536.0,0.05,0.12,3.25,1.9052574665293431,positive
68,68,2015-06-01,38.139999,2066347.0,0.05,0.13,3.25,-3.638208507417451,negative
69,69,2015-07-01,39.279999,2039447.0,0.05,0.13,3.25,2.9889880175403083,positive
70,70,2015-08-01,36.080002,2736601.0,0.05,0.14,3.25,-8.146632081126063,negative
71,71,2015-09-01,34.779999,2366225.0,0.05,0.14,3.25,-3.603112327987132,negative
72,72,2015-10-01,38.169998,4065215.0,0.05,0.12,3.25,9.746978428607784,positive
73,73,2015-11-01,39.66,1950790.0,0.05,0.12,3.25,3.903594650437228,positive
74,74,2015-12-01,38.029999,3721976.0,0.05,0.24,3.25,-4.109936964195664,negative
75,75,2016-01-01,35.450001,3263908.0,0.05,0.34,3.5,-6.7841127211178645,negative
76,76,2016-02-01,35.59,2898793.0,0.05,0.38,3.5,0.3949195939373967,positive
77,77,2016-03-01,35.990002,2767041.0,0.0241935483870967,0.36,3.5,1.1239168305703666,positive
78,78,2016-04-01,36.049999,2442438.0,0.0,0.37,3.5,0.1667046309138931,positive
79,79,2016-05-01,37.560001,1648713.0,0.0,0.37,3.5,4.188632571113248,positive
80,80,2016-06-01,37.139999,2378284.0,0.0,0.38,3.5,-1.1182161576619676,negative
81,81,2016-07-01,38.57,1667301.0,0.0,0.39,3.5,3.8502989728136425,positive
82,82,2016-08-01,38.669998,1347912.0,0.0,0.4,3.5,0.2592636764324588,positive
83,83,2016-09-01,38.709999,2090107.0,0.0,0.4,3.5,0.1034419500099372,positive
84,84,2016-10-01,38.91,1860511.0,0.0,0.4,3.5,0.5166649578058454,positive
85,85,2016-11-01,41.0,3432814.0,0.0,0.41,3.5,5.37136982780777,positive
86,86,2016-12-01,42.18,3952652.0,0.0,0.54,3.5,2.8780487804878043,positive
87,87,2017-01-01,41.77,3149576.0,0.0,0.65,3.75,-0.9720246562351744,negative
88,88,2017-02-01,43.860001,2375183.0,0.0,0.66,3.75,5.003593488149375,positive
89,89,2017-03-01,44.07,2807261.0,0.0,0.79,3.75,0.4787938787324774,positive
90,90,2017-04-01,43.799999,2305368.0,0.0,0.9,4.0,-0.612663943725892,negative
91,91,2017-05-01,43.310001,3369549.0,0.0,0.91,4.0,-1.1187169205186511,negative
92,92,2017-06-01,42.900002,2378635.0,0.0,1.04,4.0,-0.9466612572925112,negative
93,93,2017-07-01,42.549999,1658620.0,0.0,1.15,4.25,-0.8158577708224838,negative
94,94,2017-08-01,42.200001,2033939.0,0.0,1.16,4.25,-0.8225570111059212,negative
95,95,2017-09-01,43.41,1724227.0,0.0,1.15,4.25,2.8672961405853905,positive
96,96,2017-10-01,44.889999,2010868.0,0.0,1.15,4.25,3.4093503800967677,positive
97,97,2017-11-01,44.799999,1723896.0,0.0,1.16,4.25,-0.2004900913452981,negative
98,98,2017-12-01,45.43,2505826.0,0.0,1.3,4.25,1.4062522635324168,positive
99,99,2018-01-01,45.868999,2628581.0,0.0,1.41,4.5,0.9663196125908048,positive
100,100,2018-02-01,45.053001,5112398.0,0.0,1.42,4.5,-1.778974945583618,negative
101,101,2018-03-01,43.403,4122275.0,0.0,1.51,4.5,-3.662355366737952,negative
102,102,2018-04-01,45.098,2367604.0,0.0,1.69,4.75,3.9052600050687754,positive
103,103,2018-05-01,46.741001,3290529.0,0.0,1.7,4.75,3.6431792984167775,positive
104,104,2018-06-01,46.839001,2669248.0,0.0,1.82,4.75,0.2096660274776872,positive
105,105,2018-07-01,47.997002,2098894.0,0.0,1.91,5.0,2.4723008076111586,positive
106,106,2018-08-01,48.903999,2303423.0,0.0,1.91,5.0,1.88969511054044,positive
107,107,2018-09-01,49.259998,3313761.0,0.0,1.95,5.0,0.7279547834114838,positive
108,108,2018-10-01,46.841,3942736.0,0.0,2.19,5.25,-4.910674174205208,negative
109,109,2018-11-01,47.036999,3950996.0,0.0,2.2,5.25,0.4184347046390992,positive
110,110,2018-12-01,43.098999,4320733.0,0.0,2.27,5.25,-8.372132754472712,negative
111,111,2019-01-01,46.497002,3570703.0,0.0,2.4,5.5,7.884180790370567,positive
112,112,2019-02-01,48.346001,2828657.0,0.0,2.4,5.5,3.976598319177652,positive
113,113,2019-03-01,49.556,3809025.0,0.0,2.41,5.5,2.502790251462569,positive
114,114,2019-04-01,51.362,2864661.0,0.0,2.42,5.5,3.644361933973696,positive
115,115,2019-05-01,48.903999,3947384.0,0.0,2.39,5.5,-4.785641135469809,negative
116,116,2019-06-01,50.810001,2817706.0,0.0,2.38,5.5,3.897435872268853,positive
117,117,2019-07-01,52.644001,3327311.0,0.0,2.4,5.5,3.609525612880825,positive
118,118,2019-08-01,51.776001,4174215.0,0.0,2.13,5.25,-1.64881084931216,negative
119,119,2019-09-01,53.448002,3098792.0,0.0,2.04,5.25,3.229297295478655,positive
120,120,2019-10-01,53.400002,3467251.0,0.0,1.83,5.0,-0.0898069117719345,negative
121,121,2019-11-01,55.75,3396954.0,0.0,1.55,4.75,4.400745153530143,positive
122,122,2019-12-01,56.608002,5588266.0,0.0,1.55,4.75,1.5390170403587426,positive
123,123,2020-01-01,56.751999,4828506.0,0.0,1.55,4.75,0.2543756976266338,positive
124,124,2020-02-01,51.712002,7277632.0,0.0,1.58,4.75,-8.880739161276063,negative
125,125,2020-03-01,46.109001,19125311.0,0.0,0.65,4.75,-10.835010796913256,negative
126,126,2020-04-01,50.556,11014791.0,0.0,0.05,3.25,9.644535564758815,positive
127,127,2020-05-01,51.816002,7082412.0,0.0,0.05,3.25,2.4922897381121927,positive
128,128,2020-06-01,52.698002,9588310.0,0.0,0.08,3.25,1.702176868064821,positive
129,129,2020-07-01,52.532001,7197070.0,0.0,0.09,3.25,-0.3150043525369356,negative
130,130,2020-08-01,55.664001,4518274.0,0.0,0.1,3.25,5.962080142349799,positive
131,131,2020-09-01,54.967999,6675954.0,0.0,0.09,3.25,-1.250362869172843,negative
132,132,2020-10-01,53.459999,5141356.0,0.0,0.09,3.25,-2.743414400076662,negative
133,133,2020-11-01,58.588001,9148926.0,0.0,0.09,3.25,9.592222401650242,positive
134,134,2020-12-01,59.712002,5950417.0,0.0,0.09,3.25,1.918483274416548,positive
135,135,2021-01-01,59.966,9271385.0,0.0,0.09,3.25,0.4253717703184744,positive
136,136,2021-02-01,61.888,6523875.0,0.0,0.08,3.25,3.205149584764696,positive
137,137,2021-03-01,65.694,8767454.0,0.0,0.07,3.25,6.1498190279214136,positive
138,138,2021-04-01,66.970001,7249398.0,0.0,0.07,3.25,1.942340244162319,positive
139,139,2021-05-01,66.769997,7636691.0,0.0,0.06,3.25,-0.2986471509833078,negative
140,140,2021-06-01,69.933998,6275746.0,0.0,0.08,3.25,4.738656795206983,positive
141,141,2021-07-01,71.216003,8410984.0,0.0,0.1,3.25,1.8331641786016557,positive
142,142,2021-08-01,73.433998,7276449.0,0.0,0.09,3.25,3.114461506636369,positive
143,143,2021-09-01,72.014,8076837.0,0.0,0.08,3.25,-1.9337065101644155,negative
144,144,2021-10-01,75.708,8102372.0,0.0,0.08,3.25,5.129558141472495,positive
145,145,2021-11-01,76.195999,9895153.0,0.0,0.08,3.25,0.6445804934749327,positive
146,146,2021-12-01,79.246002,11783850.0,0.0,0.08,3.25,4.002838784225408,positive
147,147,2022-01-01,74.933998,18793358.0,0.0,0.08,3.25,-5.441289012914496,negative
148,148,2022-02-01,73.652,21606509.0,0.0,0.08,3.25,-1.7108362481873731,negative
149,149,2022-03-01,77.098,16536926.0,0.0,0.2,3.25,4.678759572041489,positive
150,150,2022-04-01,75.089996,10364008.0,0.0,0.33,3.5,-2.6044826065526987,negative
151,151,2022-05-01,72.491997,10734418.0,0.0,0.77,3.5,-3.4598470347501435,negative
152,152,2022-06-01,67.886002,10987360.0,0.0,1.21,4.0,-6.353797923376277,negative
153,153,2022-07-01,74.851997,9847150.0,0.0806451612903225,1.68,4.75,10.261312781389,positive
154,154,2022-08-01,73.428001,8035747.0,0.5,2.33,5.5,-1.9024155093684445,negative
155,155,2022-09-01,69.260002,11304564.0,0.925,2.56,5.5,-5.676307325866048,negative
156,156,2022-10-01,72.402,11679350.0,1.25,3.08,6.25,4.536526002410455,positive
157,157,2022-11-01,72.620003,8034631.0,1.975,3.78,6.25,0.3011007983204828,positive
158,158,2022-12-01,68.477997,6728267.0,2.177419354838709,4.1,7.0,-5.703670929344351,negative
159,159,2023-01-01,71.818001,6731261.0,2.5,4.33,7.5,4.877484953305502,positive
160,160,2023-02-01,72.244003,5824871.0,2.875,4.57,7.5,0.5931688352061082,positive
161,161,2023-03-01,72.377998,10135602.0,3.161290322580645,4.65,7.75,0.1854756027292656,positive
